Germany;GER;11;12;6
United States;USA;9;9;7
Austria;AUT;9;7;7
Russia;RUS;8;6;8
Canada;CAN;7;10;7
Sweden;SWE;7;2;5
South Korea;KOR;6;3;2
Switzerland;SUI;5;4;5
Italy;ITA*;5;0;6
France;FRA;3;2;4
Netherlands;NED;3;2;4
Estonia;EST;3;0;0
Norway;NOR;2;8;9
China;CHN;2;4;5
Czech Republic;CZE;1;2;1
Croatia;CRO;1;2;0
Australia;AUS;1;0;1
Japan;JPN;1;0;0
Finland;FIN;0;6;3
Poland;POL;0;1;1
Belarus;BLR;0;1;0
Bulgaria;BUL;0;1;0
Great Britain;GBR;0;1;0
Slovakia;SVK;0;1;0
Ukraine;UKR;0;0;2
Latvia;LAT;0;0;1
